job,experience,knowledge,salary,location,day of post,rating,number of reviews
Lead Python Developer,5-8 Yrs,"Python,rest,algorithms,software development,load balancing,confluence,software testing,sqlite",Not disclosed,Bengaluru,5 Days Ago,4.1,4900
Python Developer,3-6 Yrs,"Python,CSS,PostgreSQL,HTML,Jira,Microservices,SQL,REST API",Not disclosed,Bengaluru,5 Days Ago,4.1,4900
"Data Engineer - Python,PySpark,SQL,Spark Architecture,Azure Databricks",3-8 Yrs,"Data Engineering,Apache Atlas,Spark Architecture,Stored Procedures,Azure Purview,PySpark,Azure Databricks,Informatica",Not disclosed,Bengaluru,5 Days Ago,4.1,4900
Fullstack Python Developer,12-15 Yrs,"Linux,Django,Postgresql,Pandas,Python,Celery,Websocket,Javascript",20-35 Lacs PA,Remote,5 Days Ago,4.0,17
Sr. Python Automation engineer,4-10 Yrs,"Automation testing,Test case execution,Manual testing,SAAS,API Testing,Performance testing,Agile,Technical architecture",Not disclosed,Bengaluru,1 Day Ago,3.9,1265
Senior Software Developer (Python),5-8 Yrs,"Front end,Postgresql,Debugging,Javascript,HTML,Application development,Application security,Troubleshooting",Not disclosed,Mumbai,4 Days Ago,4.2,316
Senior Python Developer,5-10 Yrs,"Linux,Shell scripting,Debugging,Agile,Windows,Troubleshooting,Analytics,SQL",Not disclosed,Hyderabad,1 Day Ago,3.7,661
Sr. Python Developer,3-8 Yrs,"Tensorflow,Pytorch,Selenium,Python Development,Machine Learning,Development,Python,SR",4-9 Lacs PA,Ahmedabad,1 Day Ago,3.3,744
Sr. Python Developer (Python and DevOps),6-10 Yrs,"Django,AWS,Python,Terraform,MongoDB,Python Development,SR,Development",Not disclosed,Remote,1 Day Ago,4.0,175
"Sr. Python Developer - Female
",7-12 Yrs,"Python,Tensorflow,Matplotlib,Django,Pandas,Keras,Numpy,Scikit-Learn",Not disclosed,Remote,1 Day Ago,3.1,128
